,state,city,auth_lang,count
0,,,,4201684
1,,,False,4090716
2,NV,,,1391673
3,NV,,False,1361138
4,,Las Vegas,,1242711
5,NV,Las Vegas,,1242697
6,,Las Vegas,False,1215480
7,NV,Las Vegas,False,1215467
8,AZ,,,1191691
9,AZ,,False,1162316
10,ON,,,574245
11,ON,,False,553197
12,,Phoenix,,427491
13,AZ,Phoenix,,427491
14,,Phoenix,False,416571
15,AZ,Phoenix,False,416571
16,,Toronto,,376585
17,ON,Toronto,,376576
18,,Toronto,False,363174
19,ON,Toronto,False,363165
20,NC,,,272619
21,NC,,False,265464
22,AZ,Scottsdale,,229660
23,,Scottsdale,,229660
24,OH,,,227182
25,,Scottsdale,False,225078
26,AZ,Scottsdale,False,225078
27,OH,,False,221243
28,,Charlotte,,208501
29,NC,Charlotte,,208501
30,PA,,,204438
31,NC,Charlotte,False,203198
32,,Charlotte,False,203198
33,PA,,False,198426
34,,Pittsburgh,,162104
35,PA,Pittsburgh,,162104
36,,Pittsburgh,False,156977
37,PA,Pittsburgh,False,156977
38,QC,,,137992
39,QC,,False,133872
40,AZ,Tempe,,118080
41,,Tempe,,118080
42,,Montréal,,117113
43,QC,Montréal,,117113
44,,Tempe,False,114944
45,AZ,Tempe,False,114944
46,QC,Montréal,False,113565
47,,Montréal,False,113565
48,,Henderson,,112874
49,NV,Henderson,,112874
50,,,True,110968
51,,Henderson,False,110360
52,NV,Henderson,False,110360
53,WI,,,93488
54,WI,,False,90429
55,,Mesa,,89690
56,AZ,Mesa,,89690
57,AZ,Chandler,,87851
58,,Chandler,,87851
59,,Mesa,False,86606
60,AZ,Mesa,False,86606
61,AZ,Chandler,False,85272
62,,Chandler,False,85272
63,OH,Cleveland,,82699
64,,Cleveland,,82699
65,OH,Cleveland,False,80177
66,,Cleveland,False,80177
67,,Madison,,74040
68,WI,Madison,,74040
69,WI,Madison,False,71438
70,,Madison,False,71438
71,AZ,Gilbert,,70136
72,,Gilbert,,70136
73,AZ,Gilbert,False,68854
74,,Gilbert,False,68854
75,AB,,,64029
76,,Calgary,,62780
77,AB,Calgary,,62777
78,AB,,False,61867
79,,Calgary,False,60657
80,AB,Calgary,False,60654
81,AZ,Glendale,,56257
82,,Glendale,,56257
83,AZ,Glendale,False,54848
84,,Glendale,False,54848
85,,Mississauga,,41553
86,ON,Mississauga,,41553
87,,Mississauga,False,39932
88,ON,Mississauga,False,39932
89,ON,Markham,,39862
90,,Markham,,39862
91,ON,Markham,False,38434
92,,Markham,False,38434
93,NV,,True,30535
94,,Peoria,,30319
95,AZ,Peoria,,30319
96,,Peoria,False,29719
97,AZ,Peoria,False,29719
98,AZ,,True,29375
99,IL,,,28741
100,IL,,False,27626
101,,Las Vegas,True,27231
102,NV,Las Vegas,True,27230
103,NV,North Las Vegas,,25336
104,,North Las Vegas,,25336
105,,North Las Vegas,False,24683
106,NV,North Las Vegas,False,24683
107,,Champaign,,21258
108,IL,Champaign,,21258
109,ON,,True,21048
110,IL,Champaign,False,20352
111,,Champaign,False,20352
112,,Richmond Hill,,19856
113,ON,Richmond Hill,,19853
114,,Surprise,,19735
115,AZ,Surprise,,19735
116,,Surprise,False,19392
117,AZ,Surprise,False,19392
118,,Richmond Hill,False,18986
119,ON,Richmond Hill,False,18983
120,,Goodyear,,16016
121,AZ,Goodyear,,16016
122,,Goodyear,False,15785
123,AZ,Goodyear,False,15785
124,ON,Scarborough,,14864
125,,Scarborough,,14864
126,,North York,,14462
127,ON,North York,,14457
128,SC,,,14401
129,,Scarborough,False,14276
130,ON,Scarborough,False,14276
131,SC,,False,13964
132,,North York,False,13833
133,ON,North York,False,13828
134,OH,Lakewood,,13633
135,,Lakewood,,13633
136,,Toronto,True,13411
137,ON,Toronto,True,13411
138,,Lakewood,False,13276
139,OH,Lakewood,False,13276
140,ON,Vaughan,,12836
141,,Vaughan,,12836
142,,Avondale,,12662
143,AZ,Avondale,,12662
144,,Concord,,12604
145,,Vaughan,False,12311
146,ON,Vaughan,False,12311
147,,Avondale,False,12206
148,AZ,Avondale,False,12206
